"filename", "language", "TypeScript", "YAML", "Markdown", "JSON with Comments", "HTML", "JSON", "Properties", "JavaScript", "XML", "CSS", "TypeScript JSX", "JavaScript JSX", "Svelte", "Vue", "Ignore", "Shell Script", "Diff", "SCSS", "Pug", "WebAssembly Text Format", "Less", "Sass", "comment", "blank", "total"
"/Users/fxzer/Program/Vue/vite/docs/images/vite-3-cold-start.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"/Users/fxzer/Program/Vue/vite/docs/images/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/fxzer/Program/Vue/vite/docs/images/vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/docs/index.md", "Markdown", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/fxzer/Program/Vue/vite/docs/plugins/index.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 46
"/Users/fxzer/Program/Vue/vite/docs/public/astro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/docs/public/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/fxzer/Program/Vue/vite/docs/public/nuxtlabs.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/docs/public/remix.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/fxzer/Program/Vue/vite/docs/public/stackblitz.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/docs/public/viteconf.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/fxzer/Program/Vue/vite/docs/public/voice.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/fxzer/Program/Vue/vite/docs/releases.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 50
"/Users/fxzer/Program/Vue/vite/docs/team.md", "Markdown", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/fxzer/Program/Vue/vite/package.json", "JSON", 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 144
"/Users/fxzer/Program/Vue/vite/packages/create-vite/CHANGELOG.md", "Markdown", 0, 0, 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 422, 821
"/Users/fxzer/Program/Vue/vite/packages/create-vite/README.md", "Markdown", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 90
"/Users/fxzer/Program/Vue/vite/packages/create-vite/__tests__/cli.spec.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 100
"/Users/fxzer/Program/Vue/vite/packages/create-vite/build.config.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 36
"/Users/fxzer/Program/Vue/vite/packages/create-vite/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/fxzer/Program/Vue/vite/packages/create-vite/package.json", "JSON", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/Users/fxzer/Program/Vue/vite/packages/create-vite/src/index.ts", "TypeScript", 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 39, 561
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit-ts/index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit-ts/package.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit-ts/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit-ts/src/assets/lit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit-ts/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit-ts/src/my-element.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 128
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit-ts/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit-ts/tsconfig.json", "JSON with Comments", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit/index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit/package.json", "JSON", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit/src/assets/lit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-lit/src/my-element.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 132
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-preact-ts/index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-preact-ts/package.json", "JSON", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-preact-ts/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/fxzer/Program/Vue/vite/packages/create-vite/template-preact-ts/src/app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
